Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2021-07-09,6Degree,2014,Mumbai,"Amit Bhardwaj, Nikhil Hegde","Keiretsu Forum, SucSEED Venture Partners",1000000.0,Seed,2021,Consumer Services
2021-07-09,Accio Robotics,2020,Bangalore,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,169032154.0,Seed,2021,Automotive
2021-07-09,Filo,2020,Delhi,"Imbesat Ahmad, Shadman Anwer",Better Capital,260000.0,Pre-seed,2021,Education
2021-07-10,Say Cheese,2020,Mumbai,Rajpreet Kaur,Inflection Point Ventures,1000000.0,Seed,2021,Technology
2021-07-10,Doubtnut,2016,Gurugram,"Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings",30000000.0,Series B,2021,Education
2021-07-10,Gramophone,2016,Indore,"Tauseef Khan, Harshit Gupta",Z3Partners,10000000.0,Seed,2021,Technology
2021-07-10,Strata,2019,Bangalore,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",6000000.0,Series A,2021,Real Estate
2021-07-10,NeoDocs,2020,Mumbai,"Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",169032154.0,Pre-seed,2021,Healthcare
2021-07-10,Cusmat,2016,Hyderabad,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,100000.0,Pre-series A,2021,Technology
2021-07-11,Imagimake,2011,Mumbai,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah",500000.0,Pre-series A,2021,Technology
2021-07-11,Easiloan,2020,Mumbai,"Pramod Kathuria, Vishal Dawda",Tomorrow Capital,1000000.0,Seed,2021,FinTech
2021-07-11,Happy Jars,2016,Delhi,"Surabhi Talwar, Vikram Sekhar",Inflection Point Ventures,400000.0,Seed,2021,Consumables
2021-07-11,CoinSwitch Kuber,2017,Bangalore,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000.0,Series B,2021,FinTech
2021-07-11,90+ My Tuition App,2015,Bangalore,Vingish Vijay,Pearl Investment LLC,5000000.0,Series A,2021,Education
2021-07-12,Toch.ai,2016,Mumbai,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",Inflection Point Ventures,11000000.0,Series A,2021,Technology
2021-07-12,The Switch Fix,2019,Gurugram,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9unicorns",169032154.0,Seed,2021,Automotive
2021-07-12,GENLEAP,2021,Haryana,"Sachin Sandhir, Nimish Gupta, Nitin Thakur, Shweta Kataria","Vivek Vaidya, Kevin Donlon, Ayush Singh",8000000.0,Seed,2021,Wellness/Beauty
2021-07-12,Vegrow,2020,Bangalore,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital",13000000.0,Seed,2021,Agriculture
2021-07-12,Gourmet Garden,2019,Bangalore,Arjun Balaji,"Beyond Next Ventures, M Venture Partners",3000000.0,Seed,2021,Agriculture
2021-07-14,Indifi,2015,Gurugram,Alok Mittal,"Omidyar Network, Flourish Ventures, Elevar Equity, Accel",40000000.0,Seed,2021,Finance
2021-07-14,Ruptok,2020,Delhi,Ankur Gupta,Eclear Leasing,1000000.0,Seed,2021,FinTech
2021-07-14,GoMechanic,2016,Gurugram,Kushal Karwa,"Tiger Global, Sequoia",42000000.0,Series C,2021,Automotive
2021-07-14,Grip Invest,2020,Gurugram,"Nikhil Aggarwal, Vivek Gulati","Venture Highway, Endiya Partners",3000000.0,Series A,2021,Finance
2021-07-14,Peppermint,2019,Pune,"Runal Dahiwade, Miraj C Vora","Venture Catalysts, Indian Angel Network",600000.0,Seed,2021,Automotive
2021-07-15,WinZO,2018,Delhi,Paavan Nanda,Griffin Gaming Partners,65000000.0,Series C,2021,Gaming
2021-07-15,Fullife Healthcare,2009,Bangalore,Morgan Stanley Private Equity Asia,,22000000.0,Seed,2021,Manufacture
2021-07-15,ProfitWheel,2020,Mumbai,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",3000000.0,Seed,2021,Marketing
2021-07-15,Magenta EV,2017,Mumbai,"Maxson Lewis, Darryl Dias","JITO Angel Network, LetsVenture",15000000.0,Series A,2021,Energy
2021-07-16,8i Ventures,2018,Mumbai,Vikram Chachra,Inflection Point Ventures,50000000.0,Seed,2021,Finance
2021-07-16,Vahak,2017,Bangalore,"Vikas Chandrawat, Karan Shaha",RTP Global,5000000.0,Pre-series A,2021,Logistics
2021-07-17,Nao Spirits & Beverages Pvt Ltd,2016,Delhi,Anand Virmani,Inflection Point Ventures,2000000.0,Series A,2021,Consumables
2021-07-17,Reccy Adventures,2019,Gurugram,"Amit Chowdhury, Siddhartha Chatterjee, Tapas Pal","Kallol Banerjee, Jaydeep Barman",400000.0,Seed,2021,Gaming
2021-07-17,LivQuik Technology,2012,Mumbai,Mohit Lalvani,M2P Fintech,4000000.0,Seed,2021,Finance
2021-07-18,Curefit,2016,Bangalore,"Mukesh Bansal, Ankit",Zomato,145000000.0,Seed,2021,Wellness/Beauty
2021-07-18,Playo,2014,Bangalore,Daanish Suhail,ah! Ventures High Tables,500000.0,Pre-series A,2021,Gaming
2021-07-18,Simpl,2015,Bangalore,"Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",40000000.0,Series B,2021,Consumer Services
2021-07-18,Locus,2015,Bangalore,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",50000000.0,Series C,2021,Logistics
2021-07-18,Alpha Coach,2021,Mumbai,Ketan Mavinkurve,Jani Ventures INC,1200000.0,Seed,2021,Wellness/Beauty
2021-07-19,Melorra,2015,Bangalore,Saroja Yeramili,"9Unicorns, Symphony International Holdings Limited, Value Quest",24000000.0,Seed,2021,Lifestyle
2021-07-20,BlackSoil NBFC,2010,Mumbai,Mohinder Pal Bansal,Inflection Point Ventures,3000000.0,Seed,2021,FinTech
2021-07-21,NephroPlus,2009,Hyderabad,Vikram Vuppala,IIFL Asset Management,24000000.0,Series E,2021,Automotive
2021-07-21,Smallcase,2015,Bangalore,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,40000000.0,Series C,2021,FinTech
2021-07-22,Cred,2018,Bangalore,Kunal Shah,"DST Global, General Catalyst",81000000.0,Series C,2021,FinTech
2021-07-22,Method & Madness,2020,Mumbai,Aditya Jhaveri,Justin Mateen,2000000.0,Seed,2021,Real Estate
2021-07-22,LetsDressUp,2019,Gurugram,Aditya B,"Titan Capital, Sequoia Capital",300000.0,Pre-series A,2021,Lifestyle
2021-07-22,Avataar Ventures,2019,Bangalore,Mohan Kumar,Inflection Point Ventures,100000000.0,Seed,2021,FinTech
2021-07-22,Trica,2021,Mumbai,Nimesh Kampani,LetsVenture,3000000.0,Seed,2021,Finance
2021-07-22,UrbanKisaan,2017,Hyderabad,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,169032154.0,Seed,2021,Consumables
2021-07-22,Fashinza,2020,Gurugram,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital",2600000.0,Seed,2021,Manufacture
2021-07-23,Kwik Foods,2020,Gurugram,"Prabhleen Kaur, Harshal Patel",9Unicorns,169032154.0,Seed,2021,Consumables
2021-07-23,Elevar,2017,Mumbai,"Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000.0,Seed,2021,Gaming
2021-07-23,Fixcraft,2018,Gurugram,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",Inflection Point Ventures,1000000.0,Pre-series A,2021,Automotive
2021-07-24,ExtraaEdge,2015,Pune,"Abhishek Ballabh, Sushil Mundada","9Unicorns Accelerator Fund, Indian Angel Network",1000000.0,Pre-series A,2021,Technology
2021-07-24,EsportsXO,2020,Bangalore,"Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,1100000.0,Seed,2021,Gaming
2021-07-25,saarthi.ai,2017,Bangalore,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,169032154.0,Seed,2021,Technology
2021-07-25,Vanity Wagon,2018,Delhi,"Prateek, Naina Ruhail, Sahil Shreshtha",Inflection Point Ventures,700000.0,Pre-series A,2021,Consumer Services
2021-07-25,Elixia Tech Solutions,2011,Mumbai,Sanket Sheth,Rajasthan Venture Capital Fund,1000000.0,Pre-series A,2021,Technology
2021-07-26,Trinkerr,2021,Bangalore,"Manvendra Singh, Gaurav Agarwal",Accel India,6600000.0,Series A,2021,Marketing
2021-07-26,Rage Coffee,2018,Delhi,Bharat Sethi,Sixth Sense Ventures,5000000.0,Seed,2021,Consumables
2021-07-26,Healofy,2016,Bangalore,"Gaurav Aggarwal, Shubham Maheshwari","Celesta Capital, Omidyar Network India",6000000.0,Series B,2021,Technology
2021-07-26,Bombay Hemp Company,2013,Mumbai,"Avnish Pandya, Delzaad Deolaliwala","Riteesh Mohan Bakshi, Raghav Mohan Bakshi, Achin Kochar",2000000.0,Seed,2021,Lifestyle
2021-07-27,Cancer Clinics,2014,Telugana,"Sonali Srungaram, Sasi Sunkara",Axilor,1500000.0,Pre-series A,2021,Automotive
2021-07-27,Bandhoo,2020,Gurugram,"Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000.0,Seed,2021,Technology
2021-07-27,Juicy chemistry,2014,Coimbatore,"Megha, Pritesh Asher",Spring Marketing Capital,169032154.0,Seed,2021,Automotive
2021-07-27,Zenpay Solutions,2019,Delhi,Ankit Bhargava,"The StarupLab, AngelBay",169032154.0,Seed,2021,Finance
2021-07-27,O4S,2017,Gurugram,"Divay Kumar, Shreyans Sipani","Think Investments, Venture Highway",6000000.0,Series A,2021,Technology
2021-07-28,Karbon Card,2019,Bangalore,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,169032154.0,Seed,2021,FinTech
2021-07-28,Glii,2020,Noida,Shivam Kaushik,We Founder Circle,10000.0,Seed,2021,Lifestyle
2021-07-28,Clairco,2018,Bangalore,Aayush Jha,"Real Estate Accelerator Program (REAP), AngelList",500000.0,Seed,2021,Technology
2021-07-29,NFTically,2021,Gurugram,Toshendra Sharma,"Nitish Mittersain, Gaurav Munjal",1000000.0,Seed,2021,FinTech
2021-07-29,Fieldproxy,2016,Chennai,"Swaroop Vijayakumar, Balakrishna B","LetsVenture, 2am VC, magic.fund",200000.0,Seed,2021,Technology
2021-07-30,Leverage Edu,2017,Delhi,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",2000000.0,Debt,2021,Education
2021-07-30,Aquaconnect,2017,Chennai,Rajamanohar,"Rebright Partners, Flourish Ventures",4000000.0,Pre-series A,2021,Agriculture
2021-07-30,PumPumPum,2018,Gurugram,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",700000.0,Pre-series A,2021,Logistics
