Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2019-08-20,Spinny,2015,Delhi,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Series A,2019,Automotive
2019-08-24,Origo,2010,Gurugram,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,Series A,2019,Technology
2019-08-27,Ola,2010,Bangalore,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000.0,Series A,2019,Logistics
2019-08-27,Smart Institute,2015,Surat,"Vivek Gupta, Abhay Hanjura",HNI investors,1500000.0,Series A,2019,Education
2019-08-29,Ecozen,2015,Pune,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2019,Technology
2019-08-30,Rein Games,2015,Noida,"Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre series A,2019,Technology
2019-09-10,Oyo,2013,Gurugram,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,Series A,2019,Hospitality
2019-09-12,JobSquare,2019,Ahmedabad,Ishit Jethwa,Titan Capital,140500.0,Series A,2019,Technology
2019-09-12,Bijak,2019,Bangalore,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Seed fund,2019,Technology
2019-09-15,Cubical Labs,2013,Bangalore,"Dhruv Ratra, Swati Vyas",Rockstud Capital,6000000.0,Series B,2019,Technology
2019-09-21,Bombay Shirt Company,2012,Mumbai,Akshay Narvekar,Lightbox Ventures,8000000.0,Series A,2019,E-Commerce
2019-09-23,Freightwalla,2017,Mumbai,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2019,E-Commerce
2019-09-29,Ruangguru,2014,Mumbai,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000.0,Series C,2019,Education
2019-09-30,Rivigo,2014,Bangalore,"Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000.0,Series F,2019,Logistics
2019-09-30,Zetwerk,2018,Bangalore,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2019,Manufacture
2019-10-02,Lenskart,2010,Delhi,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000.0,Series G,2019,E-Commerce
2019-10-02,DROR Labs Pvt. Ltd,2018,Delhi,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,6000000.0,Series A,2019,Technology
2019-10-03,Toffee Insurance,2017,Haryana,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000.0,Series A,2019,Finance
2019-10-18,Phable,2018,Bangalore,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Series A,2019,Healthcare
2019-10-20,Observe.AI,2015,Bangalore,Swapnil,Scale Venture Partners,26000000.0,Series A,2019,Technology
2019-10-29,Eduisfun,2015,Mumbai,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2019,Education
2019-11-04,Nu Genes,2004,Telangana,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000.0,Series A,2019,Technology
2019-11-06,Springboard,2013,Bangalore,"Gautam Tambay, Parul Gupta",Reach Capital,11000000.0,Post series A,2019,Education
2019-11-09,Quantiphi,2015,Bangalore,Renuka Ramnath,Multiples Alternate Asset Management,20000000.0,Series A,2019,Technology
2019-11-11,Awign Enterprises,2016,Bangalore,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2019,Other
2019-11-13,Cuemath,2013,Bangalore,Manan Khurma,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,Series A,2019,Education
2019-11-16,Bombay Shaving,2015,Bangalore,Shantanu Deshpande,Sixth Sense Ventures,6300000.0,Series A,2019,E-Commerce
2019-11-17,Slintel,2016,Bangalore,Deepak Anchala,Stellaris Ventures,1500000.0,Series A,2019,Technology
2019-11-19,Credr,2014,Mumbai,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,Series A,2019,Automotive
2019-11-21,HomeLane,2014,Chennai,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2019,Real Estate
2019-11-23,Cub McPaws,2010,Mumbai,"Abhay Bhat, Kinnar Shah",Venture Catalysts,6000000.0,Series A,2019,E-Commerce
2019-11-26,Infra.Market,2015,Mumbai,"Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2019,Technology
2019-11-29,Finly,2015,Bangalore,"Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",6000000.0,Series A,2019,Technology
2019-11-29,MyGameMate,2015,Bangalore,Parshavv Jain& Raju Kushwaha,"Jindagi Live Angels,",100000.0,Series A,2019,Gaming
2019-12-07,Moms Co,2015,Delhi,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2019,E-Commerce
2019-12-11,Shadowfax,2015,Bangalore,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2019,Logistics
2019-12-23,Kaleidofin,2018,Chennai,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000.0,Series A,2019,FinTech
