Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2019-01-04,Seekify,2019,Delhi,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000.0,Seed funding,2019,Technology
2019-01-06,WishADish,2015,Delhi,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000.0,Series A,2019,Consumables
2019-01-11,PiBeam,2015,Chennai,Visakh Sasikumar,GAIL (India) Ltd,50000000.0,Series A,2019,Automotive
2019-01-23,Fireflies .ai,2015,Bangalore,Sam Udotong,Canaan Partners,5000000.0,Series A,2019,Technology
2019-02-09,Kratikal,2013,Noida,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre series A,2019,Technology
2019-02-09,Afinoz,2015,Noida,Rachna Suneja,Fintech innovation lab,6000000.0,Series A,2019,FinTech
2019-02-11,HappyEasyGo,2017,Gurugram,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B+,2019,Logistics
2019-02-14,Ninjacart,2015,Bangalore,"Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart",6000000.0,Series A,2019,E-Commerce
2019-02-21,Binca Games,2014,Mumbai,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,6000000.0,Series A,2019,Gaming
2019-02-22,Ess Kay Fincorp,2015,Rajasthan,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,Series A,2019,Finance
2019-03-23,Zest Money,2015,Bangalore,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000.0,Series B,2019,FinTech
2019-03-25,Appnomic,2015,Bangalore,D Padmanabhan,Avataar Ventures,22000000.0,Series A,2019,Technology
2019-03-27,Pristyn Care,2018,Bangalore,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B,2019,Automotive
2019-03-30,Witblox,2014,Bangalore,Amit Modi,Mumbai Angels Network,182700.0,Series A,2019,Education
2019-03-31,KredX,2015,Bangalore,Manish Kumar,Tiger Global Management,26000000.0,Series B,2019,Technology
2019-04-04,SalaryFits,2015,Bangalore,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,Series A,2019,FinTech
2019-04-09,Licious,2015,Bangalore,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000.0,Series D,2019,Consumables
2019-04-15,Asteria Aerospace,2011,Bangalore,"Neel Mehta, Nihar Vartak",Reliance Industries,230000000.0,Series A,2019,Technology
2019-04-15,Medlife,2014,Bangalore,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000.0,Series A,2019,Healthcare
2019-04-20,IndyFint,2019,Bangalore,Paddy Padmanabhan,Saravanan Adiseshan,2100000.0,Series A,2019,FinTech
2019-04-25,Nivesh.com,2016,Noida,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000.0,Series A,2019,Finance
2019-05-01,VMate,2015,Bangalore,"Vivek Gupta, Abhay Hanjura",Alibaba,100000000.0,Series A,2019,Media/Entertainment
2019-05-03,Trell,2016,Bangalore,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre series A,2019,Media/Entertainment
2019-05-08,truMe,2015,Bangalore,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,140000.0,Series A,2019,Technology
2019-05-09,FlytBase,2015,Pune,Nitin Gupta,Undisclosed,6000000.0,Series A,2019,Technology
2019-05-15,Box8,2011,Mumbai,"Amit Raj, Anshul Gupta",Trifecta Capital,120000000.0,Series A,2019,Consumables
2019-05-20,Stanza Living,2017,Delhi,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000.0,Series A,2019,Real Estate
2019-05-26,Ecom Express,2012,Gurugram,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,36000000.0,Series A,2019,Logistics
2019-06-09,m.Paani,2015,Mumbai,Akanksha Hazari,"AC Ventures, Henkel",5500000.0,Series A,2019,E-Commerce
2019-06-11,Zoomcar,2013,Bangalore,"Greg Moran, David Back",Zoomcar Inc,4800000.0,Series A,2019,Logistics
2019-06-11,TapChief,2016,Bangalore,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000.0,Pre series A,2019,Technology
2019-06-12,Zolostays,2015,Bangalore,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000.0,Series A,2019,Real Estate
2019-06-22,Open Secret,2015,Bangalore,"Ahana Gautam, Udit Kejriwal",Matrix Partners,6000000.0,Series A,2019,Consumables
2019-06-24,Lil’ Goodness and sCool meal,2015,Bangalore,"Vivek Gupta, Abhay Hanjura","Sajan Pillai, Muthu Krishnan,",400000.0,Series A,2019,Consumables
2019-06-28,Licious,2015,Bangalore,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000.0,Series E,2019,Consumables
2019-06-30,Kratikal,2015,Uttar pradesh,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A,2019,Technology
2019-07-02,Euler Motors,2015,Delhi,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000.0,Series A,2019,Automotive
2019-07-03,CarDekho,2008,Jaipur,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2019,Automotive
2019-07-08,Purplle,2012,Mumbai,"Manish Taneja, Rahul Dash",Goldman Sachs,30000000.0,Series C,2019,Wellness/Beauty
2019-07-12,LivFin,2017,Delhi,Rakesh Malhotra,German development finance institution DEG,5000000.0,Series A,2019,FinTech
2019-07-18,Freshokartz,2016,Jaipur,Rajendra Lora,ThinkLab,150000.0,Pre series A,2019,E-Commerce
2019-07-21,Sportido,2015,Noida,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",6000000.0,Series B,2019,Gaming
2019-07-24,Zebu,2015,Bangalore,Team of Waterloo-based software developers,Undisclosed,4000000.0,Seed round,2019,Other
2019-07-24,Pumpkart,2014,Chandigarh,KS Bhatia,Dinesh Dua,6000000.0,Series A,2019,E-Commerce
2019-07-28,Froogal,2015,Hyderabad,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000.0,Pre series A,2019,Marketing
2019-08-03,Byju's,2011,Bangalore,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",540000000.0,Series A,2019,Education
2019-08-04,HungerBox,2015,Bangalore,"Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2019,Consumables
2019-08-06,eJOHRI,2015,Mumbai,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000.0,Pre series A,2019,Other
2019-08-07,Lawyered,2015,Delhi,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,Series A,2019,Technology
2019-08-13,GoMechanic,2016,Delhi,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000.0,Series B,2019,Automotive
2019-08-19,Azah Personal Care Pvt. Ltd.,2018,Gurugram,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",6000000.0,Pre series A,2019,Healthcare
2019-08-20,Sarva,2015,Chennai,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000.0,Series A,2019,Wellness/Beauty
