Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-02-16,Studds Accessories,Seed,1000000000.0,2018,2016,Faridabad,E-Commerce
2018-02-16,Hyperdata.IO,Angel,50000000.0,2018,2016,Hyderabad,Marketing
2018-02-17,Vedantu,Series B,11000000.0,2018,2016,Bangalore,Education
2018-02-17,HousingMan.com,Seed,103000000.0,2018,2016,Bangalore,Real Estate
2018-02-18,Steradian Semiconductors,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-02-19,Tripeur,Seed,600000.0,2018,2016,Bangalore,Technology
2018-02-20,Trendlyne Technologies,Seed,200000.0,2018,2016,Bangalore,Finance
2018-02-23,Lendbox,Seed,60000000.0,2018,2016,Delhi,Finance
2018-02-25,Kuants,Seed,5000000.0,2018,2016,Gurugram,Finance
2018-02-27,Loans4SME,Seed,5800000.0,2018,2016,Mumbai,Finance
2018-02-27,Jetbrain Robotics,Seed,70000.0,2018,2016,Gurugram,Automotive
2018-02-28,Ideal Insurance Brokers/ 121Policy.com,Seed,1000000.0,2018,2016,Kolkata,Finance
2018-02-28,Roposo,Series C,10000000.0,2018,2016,Gurugram,Media/Entertainment
2018-02-28,HealthifyMe,Series B,6000000.0,2018,2016,Bangalore,Automotive
2018-03-02,Orbo.ai,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-03-02,Perspectico,Seed,5800000.0,2018,2016,Delhi,Automotive
2018-03-02,PetSutra,Seed,9500000.0,2018,2016,Gurugram,Healthcare
2018-03-04,Pitstop,Seed,100000000.0,2018,2016,Bangalore,Automotive
2018-03-04,Enakshi,Seed,8000000.0,2018,2016,Ahmedabad,Lifestyle
2018-03-04,GoGaga,Seed,40000.0,2018,2016,Bangalore,Lifestyle
2018-03-05,Happy Cow Dairy,Seed,40000000.0,2018,2016,Mumbai,Agriculture
2018-03-05,Vogo Rentals,Seed,80000000.0,2018,2016,Kormangala,Logistics
2018-03-05,Racetrack,Seed,342000000.0,2018,2016,Bangalore,Media/Entertainment
2018-03-06,Idha Skin Clinic,Seed,5000000.0,2018,2016,Bangalore,Automotive
2018-03-06,Awaaz De,Angel,5800000.0,2018,2016,Ahmedabad,Technology
2018-03-07,GuruQ,Seed,25000000.0,2018,2016,Delhi,Technology
2018-03-08,SEDEMAC Mechatronics,Venture - Series Unknown,5800000.0,2018,2016,Mumbai,Energy
2018-03-09,Clensta,Seed,5800000.0,2018,2016,Delhi,Automotive
2018-03-09,dishq,Seed,400000.0,2018,2016,Bangalore,Technology
2018-03-10,BIGPHI TECHNOLOGIES PVT. LTD.,Angel,900000.0,2018,2016,Bangalore,Lifestyle
2018-03-11,Any time Doctor,Angel,5800000.0,2018,2016,Chennai,Technology
2018-03-11,Bon(Bonfleet Solutions),Seed,78000000.0,2018,2016,Pune,FinTech
2018-03-12,Hashtag Loyalty Private Limited,Seed,5800000.0,2018,2016,Mumbai,Consumer Services
2018-03-12,Fitternity,Seed,2000000.0,2018,2016,Mumbai,Automotive
2018-03-12,Log 9 Materials,Seed,30000000.0,2018,2016,Uttar Pradesh,Technology
2018-03-12,Moglix,Series C,23000000.0,2018,2016,Noida,E-Commerce
2018-03-13,Chezuba,Angel,1400000.0,2018,2016,Hyderabad,Technology
2018-03-14,alphaics Corporation,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-03-14,Fincash.com,Seed,150000.0,2018,2016,Mumbai,Other
2018-03-14,Shuttl,Seed,1000000.0,2018,2016,Gurugram,Logistics
2018-03-16,Adiuvo Diagnostics,Seed,5800000.0,2018,2016,Chennai,Healthcare
2018-03-17,Medikabazaar,Series A,5000000.0,2018,2016,Mumbai,E-Commerce
2018-03-17,UrbanPiper,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-03-17,Belstar Investment and Finance Private Limited,Venture - Series Unknown,28000000.0,2018,2016,Chennai,Finance
2018-03-18,Mobile Premier League (MPL),Series A,5000000.0,2018,2016,Bangalore,Gaming
2018-03-19,Syncremedies Healthcare Pvt Ltd,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-03-20,BuildSupply,Series A,250000000.0,2018,2016,Gurugram,Real Estate
2018-03-20,Zyla Health,Seed,5800000.0,2018,2016,Delhi,Hospitality
2018-03-20,Moonshine Meadery,Seed,5800000.0,2018,2016,Pune,Consumables
2018-03-21,Vistara,Seed,-2147483648.0,2018,2016,Haryana,Technology
2018-03-22,Azure Power,Post-IPO Equity,185000000.0,2018,2016,Delhi,Energy
2018-03-22,Olly Smart Credit Card,Seed,5800000.0,2018,2016,Delhi,Automotive
2018-03-23,Wakefit,Venture - Series Unknown,650000000.0,2018,2016,Bangalore,Consumer Services
2018-03-24,Poshmiles Online Solutions Private Limited,Seed,5800000.0,2018,2016,Bangalore,Logistics
2018-03-24,DRIVEU,Venture - Series Unknown,70000000.0,2018,2016,Bangalore,Logistics
2018-03-24,Buddy4Study.com,Series A,3000000.0,2018,2016,Noida,Automotive
2018-03-25,Bombay Shaving Company,Series A,5800000.0,2018,2016,Delhi,Consumer Services
2018-03-26,Jagaran Microfin,Seed,550000000.0,2018,2016,Kolkata,Finance
2018-03-26,Shop101,Series B,11000000.0,2018,2016,Mumbai,E-Commerce
2018-03-26,Fixpocket,Seed,250000.0,2018,2016,Ahmedabad,Media/Entertainment
2018-03-27,INDwealth,Seed,-2147483648.0,2018,2016,Gurugram,Finance
2018-03-28,Yumlane,Series A,4000000.0,2018,2016,Mumbai,Consumables
2018-03-28,myUpchar,Series A,5000000.0,2018,2016,Delhi,Automotive
2018-03-30,Stelis Biopharma,Series B,100000000.0,2018,2016,Bangalore,Healthcare
2018-03-31,Kogta Financial India Limited,Series B,1540000000.0,2018,2016,Jaipur,Finance
2018-03-31,Forum for Innovation Incubation Research and Entrepreneurship,Grant,102500000.0,2018,2016,Margão,Other
2018-04-01,Chaayos,Series B,810000000.0,2018,2016,Delhi,Consumables
2018-04-02,Aarav Unmanned Systems,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-04-02,Earth Food,Seed,64000000.0,2018,2016,Pune,Consumables
2018-04-03,Chtrbox,Angel,10000000.0,2018,2016,Mumbai,Marketing
2018-04-04,Doxper,Seed,72000000.0,2018,2016,Mumbai,Automotive
2018-04-04,Wedeterna,Angel,5800000.0,2018,2016,Bangalore,Other
2018-04-05,Inner Being Wellness,Angel,35000000.0,2018,2016,Hyderabad,Wellness/Beauty
2018-04-05,Creditas Solutions,Seed,5800000.0,2018,2016,Gurugram,Finance
2018-04-05,Charcoal Eats,Seed,50000000.0,2018,2016,Mumbai,Consumables
