Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2020-01-01,Genius Teacher,2016,Mumbai,"Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",2000000.0,Series A,2020,Education
2020-01-01,ShipsKart,2018,Delhi,"Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,Pre-series A,2020,E-Commerce
2020-01-01,EkAnek,2018,Delhi,"Chandranshu Sinha, Kartik Sheth","Lightspeed India Partners, Sequoia Capital India",5040000.0,Edge,2020,Technology
2020-01-01,GabbarDeals,2016,Pune,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,3000000.0,Series A,2020,E-Commerce
2020-01-02,Swipez,2014,Pune,Vivek Iyer,"9Unicorns, Anicut",3000000.0,Series A,2020,FinTech
2020-01-02,Gamerji,2018,Ahmedabad,"Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,3000000.0,Seed,2020,Gaming
2020-01-02,NCOME,2020,Delhi,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Series A,2020,Finance
2020-01-02,Tea Trunk,2013,Goa,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors,220000.0,Series A,2020,Consumables
2020-01-02,Cityflo,2015,Mumbai,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000.0,Series A,2020,Logistics
2020-01-02,GullyBuy Software,2019,Pune,Shirish Deodhar,Venture Catalysts,543000.0,Pre-series A,2020,Technology
2020-01-04,Keito,2016,Pune,Amal PS,Suma Soft Pvt Ltd,160000.0,Seed Round,2020,Technology
2020-01-04,Driftly Electric,2016,Bangalore,Sneha Roy,MG Motor India,3000000.0,Series A,2020,Automotive
2020-01-05,Slurrp Farm,2016,Gurugram,Meghana Narayan,Fireside Ventures,2000000.0,Series A,2020,Consumables
2020-01-07,Krimanshi Feeds,2015,Jodhpur,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",500000.0,Series A,2020,Agriculture
2020-01-07,VilCart,2018,Bangalore,"Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",3000000.0,Bridge Round,2020,E-Commerce
2020-01-07,Waycool,2015,Chennai,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,5500000.0,Series C,2020,Technology
2020-01-07,Specsmaker,2007,Chennai,Pratik Shah,Eight Road Ventures,3060000.0,Series A,2020,Lifestyle
2020-01-07,Byju,2011,Bangalore,Byju Raveendran,Tiger Global,200000000.0,Series A,2020,Education
2020-01-07,Ameliorate Biotech,2016,Bangalore,"Dr Binita Shrivastava Tunga, Dr Rashbehari Tunga","PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI",264000.0,Angel Round,2020,Healthcare
2020-01-07,Big Basket,2016,Bangalore,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Alibaba Holdings,60000000.0,Series A,2020,Other
2020-01-07,Morning Context,2016,Bangalore,Byju Raveendran,Angel investors,3000000.0,Seed Round,2020,Media/Entertainment
2020-01-08,DealShare,2018,Jaipur,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Series C,2020,E-Commerce
2020-01-08,iKure,2010,Kolkata,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",3000000.0,Series A,2020,Healthcare
2020-01-09,Hapramp,2018,Gurugram,"Shubhendra Vikram, Ankit Kumar",Anand Mahindra,1000000.0,Series A,2020,Technology
2020-01-09,Credgencies,2018,Bangalore,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,3000000.0,Seed Round,2020,Technology
2020-01-09,AjnaLens,2014,Thane,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",1000000.0,Bridge,2020,Technology
2020-01-10,Customfit ai,2019,Bangalore,"Ashwin Kumar, Shoaib Mohammed",Venture Catalysts,3000000.0,Series A,2020,Technology
2020-01-10,FITTR,2016,Pune,"Jitendra Chouksey, Sonal Singh, Jyoti Dabas, Bala Krishna Reddy, Rohit Chattopadhyay.",Surge,2000000.0,Pre-series A,2020,Wellness/Beauty
2020-01-10,Mindhouse,2019,Gurugram,"Pankaj Chaddah, Staff Pooja Khanna","GGV Capital, Sahi Barual",286000.0,Series A,2020,Healthcare
2020-01-10,Verloop.io,2015,Bangalore,Gaurav Singh,Alpha Wave incubation,5000000.0,Series A,2020,Technology
2020-01-10,DocSumo,2019,Mumbai,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",220000.0,Seed Round,2020,Technology
2020-01-11,GoodGamer,2020,Bangalore,Charles Creighton,Venture Catalysts,2500000.0,Seed,2020,Gaming
