Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2020-01-11,MyClassboard,2008,Hyderabad,Ajay Sakhamuri,ICICI Bank.,600000.0,Pre-series A,2020,Education
2020-01-11,Wellversed,2018,Delhi,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",3000000.0,Pre-series A,2020,Automotive
2020-01-11,Yap,2016,Chennai,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta",1402000.0,Series A,2020,FinTech
2020-01-12,Coin DCX,2018,Mumbai,"Sumit Gupta, Neeraj Khandelwal",Polychain Capital,2500000.0,Series A,2020,FinTech
2020-01-12,Fingerlix,2016,Bangalore,"Shrikrishna Bharambe, Shripad Nadkarni, Varun Khanna, Abhijit Berde","Accel, Zephyr Peacock, Swiggy, RB Investments.",1834000.0,Series A,2020,Consumables
2020-01-12,FabHotels,2014,Gurugram,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",1030000.0,Series B,2020,Hospitality
2020-01-12,Pando,2017,Chennai,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures,9000000.0,Series A,2020,Technology
2020-01-13,Seal Professional,2012,Bangalore,Byju Raveendran,Equanimity Ventures,3000000.0,Pre-series A,2020,Education
2020-01-14,Ewar,2016,Bangalore,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",200000.0,Series A,2020,Gaming
2020-01-14,HomeCapital,2016,Mumbai,Lalit Menghani,Varanium NexGen Fund,3000000.0,Series A,2020,FinTech
2020-01-14,Chaayos,2012,Bangalore,"Nitin Saluja, Raghav Verma",Think Investment,21500000.0,Series A,2020,Consumables
2020-01-14,Omatra Hotels,2017,Kolkata,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,3000000.0,Seed,2020,Hospitality
2020-01-15,Pandorum,2011,Bangalore,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000.0,Series A,2020,Technology
2020-01-15,Trell,2016,Bangalore,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",4000000.0,Pre-series A,2020,E-Commerce
2020-01-15,Recordent,2019,Hyderabad,Harish Mamtani,Venture Catalysts,3000000.0,Seed,2020,FinTech
2020-01-15,Monech,2016,Mumbai,Byju Raveendran,Angel investors,12700.0,Seed Round,2020,FinTech
2020-01-16,Pedagogy,2015,Bangalore,"Archin Shah, Abhilash Sonwane, Ritesh Gandhi",Inflection Point Ventures,400000.0,Series A,2020,Education
2020-01-16,Strata,2019,Bangalore,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",1500000.0,Seed Round,2020,Technology
2020-01-17,inFeedo,2013,Gurugram,Tanmaya Jain,"Peyush Bansal, Ritesh Malik",3200000.0,Series A,2020,Technology
2020-01-17,Bizlog,2016,Bangalore,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,1000000.0,Series A,2020,Logistics
2020-01-18,Evage,2014,Chandigarh,Inderveer Singh,Anand Shah,3000000.0,Series A,2020,Logistics
2020-01-18,Cashfree,2015,Bangalore,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000.0,Series B,2020,FinTech
2020-01-19,Antaios,2016,France,Jean Pierre Nozieres,Venture Catalysts,11000000.0,Series A,2020,Technology
2020-01-19,Toppr,2013,Mumbai,"Zishaan Hayath, Hemanth Goteti","Kaizenvest, Foundation Holdings",35000000.0,Series D,2020,Education
2020-01-20,Khatabook,2016,Bangalore,Ravish Naresh,Mahendra Singh Dhoni,3000000.0,Series A,2020,FinTech
2020-01-20,Pariksha,2015,Pune,"Karanvir Singh, Utkarsh Bagri, Vikram Shekhawat, Deepak Choudhary","INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",3000000.0,Pre-series A,2020,Education
2020-01-20,Nykaa,2012,Mumbai,Falguni Nayar,Steadview capital,13137000.0,Series A,2020,E-Commerce
2020-01-20,XpressBees,2015,Bangalore,"Supam Maheshwari, Amitava Saha",Alibaba,10000000.0,Series A,2020,Logistics
2020-01-20,Traya,2016,Mumbai,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital",3000000.0,Seed,2020,Healthcare
2020-01-20,Fourth Partner Energy,2010,Hyderabad,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)",16000000.0,Series A,2020,Energy
2020-01-21,Sindhuja Microcredit,2018,Noida,"Abhisheka Kumar, Malkit Didyala",Nordic Microfinance Initiative,8700000.0,Series A,2020,FinTech
2020-01-21,Satyukt,2018,Bangalore,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",500000.0,Seed,2020,Technology
2020-01-21,Bombay Play,2017,Bangalore,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020,Gaming
2020-01-22,LEAD School,2012,Mumbai,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity",28000000.0,Series C,2020,Education
2020-01-22,Exotel,2011,Bangalore,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000.0,Series A,2020,Technology
2020-01-22,IDfy,2011,Mumbai,"Ashok Hariharan, Vineet Jawa","Millenna FVCI III, NB Ventures, Dream Incubator",2110000.0,Series A,2020,Technology
2020-01-23,Strata,2019,Bangalore,"Lodha, Priyanka Rathore","Propstack, SAIF Partners",19067328.0,Series A,2020,Real Estate
2020-01-23,PhoneParLoan,2015,Delhi,Ringaile Noq,Accelerator MOX,3000000.0,Series A,2020,FinTech
2020-01-23,Toppeq,2019,Mumbai,Nandini Sankar,Venture Catalysts,3000000.0,Seed,2020,Technology
2020-01-24,Samya AI,2019,Bangalore,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia India,6000000.0,Seed Round,2020,Technology
2020-01-24,YoloBus,2019,Gurugram,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,3300000.0,Series A,2020,Logistics
2020-01-24,Chai Kings,2016,Chennai,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA),1000000.0,Series A,2020,Consumables
2020-01-24,WayCool Foods,2015,Chennai,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000.0,Debt,2020,Technology
2020-01-24,Box8,2011,Mumbai,"Amit Raj, Anshul Gupta","IIFL Seed Ventures Fund, Menlo park",4000000.0,Series A,2020,Consumables
2020-01-27,SMEcorner,2014,Mumbai,"Bhatia, Sneha Shah",Paragon Partners,30000000.0,Series B,2020,FinTech
2020-01-27,Bounce,2014,Bangalore,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital,6500000.0,Series A,2020,Automotive
2020-01-27,Drishti Technologies,2016,Bangalore,Prasad Akella,Sozo Ventures,25000000.0,Series B,2020,Technology
2020-01-27,Intello Labs,2016,Gurugram,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,5900000.0,Series A,2020,Technology
2020-01-27,Gobbly,2016,Gurugram,Ooshma Garg,Sauce vc,500000.0,Seed Round,2020,Consumer Services
2020-01-27,Clovia,2013,Noida,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Pre-series C,2020,E-Commerce
2020-01-27,Rivigo,2014,Gurugram,"Deepak Garg, Gazal Kalra",Trifecta Capital,3400000.0,Series F,2020,Logistics
2020-01-27,Apna.co,2019,Bangalore,Nirmit Parikh,"Lightspeed India, Sequoia Capital India",8000000.0,Series A,2020,Other
2020-01-27,Arzooo,2016,Bangalore,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",7500000.0,Series A,2020,Consumer Services
2020-01-27,Prolixr,2018,Gurugram,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",3000000.0,Seed,2020,Automotive
2020-01-28,Acculi Labs,2017,Bangalore,"HariPrasath M., Rupam Das",Startup Basket.,600000.0,Seed,2020,Automotive
2020-01-28,MyGlamm,2015,Mumbai,Darpan Sanghvi,Bessemer Venture Partners,1000000.0,Series B,2020,Lifestyle
2020-01-28,NuNu TV,2016,Bangalore,Byju Raveendran,Risers Accelerators,670000.0,Series A,2020,Media/Entertainment
2020-01-29,HomeLane,2014,Chennai,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",1000000.0,Series D,2020,Real Estate
2020-01-29,GoMechanic,2016,Delhi,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners",14700000.0,Series B,2020,Automotive
2020-01-29,Edvizo,2016,Bangalore,Ravi Nishant,Inflection Point Ventures,150000.0,Seed Round,2020,Education
2020-01-30,GPS Renewables,2010,Bangalore,"Mainak, Sreekrishna","Triodos, Caspian",3000000.0,Series A,2020,Other
2020-01-30,MedLife,2014,Bangalore,"Ananth Narayanan, T-ushar Kumar",Ivy Icon,6800000.0,Series A,2020,Healthcare
2020-01-30,DailyHunt,2016,Bangalore,Virendra Gupta,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management",24000000.0,Series A,2020,Media/Entertainment
2020-01-31,Zhangmen,2005,Shanghai,Yi Zhang,"CICC Alpha, VMS Asset Management",400000000.0,Series A,2020,Education
2020-01-31,Ergos,2012,Biphar,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",5000000.0,Series A,2020,Technology
2020-01-31,Otipy,2020,Bangalore,Varun Khanna,Inflection Point Ventures,1000000.0,Pre-series A,2020,E-Commerce
2020-01-31,PagarBook,2019,Bangalore,"Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Series A,2020,Technology
2020-02-01,Teach Us,2016,Bangalore,Byju Raveendran,Angel investors,12700.0,Seed Round,2020,Education
2020-02-01,SmarterBiz,2014,Bangalore,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0,Pre-series A,2020,Technology
2020-02-01,Sarva,2016,Bangalore,Sarvesh Shashi,"Mantra Capital, Patni Family",3000000.0,Series A,2020,Wellness/Beauty
2020-02-01,Stanplus,2016,Hyderabad,Prabhdeep Singh,Pegasus FinInvest,1500000.0,Pre-series A,2020,Healthcare
2020-02-02,InVideo,2017,Mumbai,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",15000000.0,Series A,2020,Media/Entertainment
2020-02-03,Aavenir,2019,Ahmedabad,Ashish Bhandari,Accel,2000000.0,Seed Round,2020,Technology
2020-02-03,Astrogate Labs,2017,Bangalore,Byju Raveendran,"Venture Catalysts, Speciale Invest",3000000.0,Series A,2020,Technology
2020-02-04,MasterG,2015,Delhi,Gayatri Jolly,Acumen Fund's angel programme,3000000.0,Series A,2020,Lifestyle
2020-02-04,Zomato,2008,Gurugram,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",52000000.0,Series A,2020,Consumables
2020-02-04,Aye Finance,2014,Gurugram,"Vikram Jetley, Sanjay Sharma",Invest in Vision,16753000.0,Series E,2020,FinTech
2020-02-04,Cub McPaws,2018,Mumbai,"Shah, Abhay Bhat",Venture Catalysts,800000.0,Pre-series A,2020,Technology
2020-02-05,Expertrons,2019,Mumbai,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly",3000000.0,Series A,2020,Education
2020-02-05,News Reach,2018,Ahmedabad,Darshan Shah,Mumbai Angels Network,3000000.0,Series A,2020,Media/Entertainment
2020-02-05,Kitchens Centre,2019,Delhi,Lakshay Jain,"Jonathan Swanson, Ankush Gera",3000000.0,Pre-series A,2020,Technology
2020-02-05,InnAccel,2012,Bangalore,Siraj Dhanani,Mount Judi Ventures,1500000.0,Pre-series A,2020,Technology
2020-02-06,Vivriti Capital,2017,Chennai,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC",1000000.0,Series A,2020,FinTech
2020-02-06,Bira91,2015,Bangalore,Ankur Jain,"Sequoia Capital, Sofina",20000000.0,Series C,2020,Consumables
2020-02-06,Slice,2016,Bangalore,Rajan Bajaj,Gunosy,6082000.0,Pre series B,2020,FinTech
2020-02-07,Pixxel,2019,Bangalore,"Kshitij Khandelwal, Awais Ahmed","Lightspeed India Partners, Blume Ventures, GrowX ventures",5000000.0,Seed Round,2020,Technology
2020-02-09,Nepra,2006,Ahmedabad,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C,2020,Technology
2020-02-09,CreditMantri,2012,Chennai,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0,Series A,2020,Technology
2020-02-10,Suno India,2018,Bangalore,"DVL Padma Priya, Rakesh Kamal, Tarun Nirwan",Shobu Yarlagadda,3000000.0,Angel Round,2020,Media/Entertainment
2020-02-10,BigSpoon Foods,2019,Ahmedabad,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000.0,Pre-series A,2020,Consumables
2020-02-10,Suryoday,2008,Mumbai,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital",800000.0,Series A,2020,Finance
2020-02-11,Steradian Semiconductors,2016,Bangalore,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.,3000000.0,Series A,2020,Technology
2020-02-12,TUBBR,2019,Texas,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,3000000.0,Series A,2020,Media/Entertainment
2020-02-13,Pine Labs,2016,Noida,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",Mastercard,3000000.0,Series A,2020,FinTech
2020-02-13,Jai Kisan,2017,Mumbai,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",3937000.0,Pre-series A,2020,FinTech
2020-02-13,Odwen,2018,Noida,Vijay Anand Bhagavatula,Prospect Partners.,54000.0,Series A,2020,Other
2020-02-14,Pepper Content,2017,Mumbai,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000.0,Series A,2020,E-Commerce
2020-02-14,iNurture,2009,Bangalore,Ashwin Ajila,BlackSoil Capital,1340000.0,Series A,2020,Education
2020-02-15,Mobile Premier League (MPL),2018,Bangalore,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Series B,2020,Gaming
2020-02-15,CRED,2018,Bangalore,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Series C,2020,Finance
2020-02-16,TagMango,2019,Mumbai,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Seed,2020,Marketing
2020-02-16,Openapp,2016,Bangalore,Gotama Gowda,Unicorn India Ventures,500000.0,Series A,2020,Technology
2020-02-17,FamPay,2016,Bangalore,Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Seed Round,2020,FinTech
2020-02-17,Lancify,2018,Bangalore,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,Series A,2020,Education
2020-02-17,Dozee,2015,Bangalore,Gaurav Parchani,Venture Catalysts,1600000.0,Series A,2020,Healthcare
2020-02-17,IVF Access,2019,Bangalore,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,5000000.0,Series A,2020,Healthcare
2020-02-18,Daalchini,2017,Bangalore,"Prerna Kalra, Vidya Bhushan",Artha Venture Fund,669000.0,Pre-series A,2020,Technology
2020-02-18,Glance,2016,Bangalore,Naveen Tewari,Mithril Capital Management.,145000000.0,Series A,2020,Technology
2020-02-18,Waycool,2015,Chennai,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,32000000.0,Series C,2020,Technology
2020-02-18,Spintly,2017,Goa,"Rohin Parkar, Malcolm Dsouza",Saltwater Venture Sparks,248000.0,Pre-series A,2020,Technology
2020-02-19,Illumnus,2018,Pune,"Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",23 High Networth Individuals (HNIs).,100000.0,Seed,2020,Education
2020-02-19,Exprs,2018,Bangalore,"Srinivas Madhavam, Srikanth Rajashekhar, Rahul Mehta","Sweta Rau, Sandeep Kapoor",5660000.0,Series A,2020,Technology
2020-02-19,Biomoneta,2016,Bangalore,Dr Janani Venkatraman,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",3000000.0,Seed Round,2020,Other
2020-02-19,Agro2o,2016,Delhi,Yash Vyas,Mumbai Angels Network,3000000.0,Series A,2020,Technology
2020-02-20,Hire Me Car,2016,Noida,Pankaj Sharma,Venture Catalysts,3000000.0,Seed,2020,Automotive
2020-02-20,Samosa Party,2017,Bangalore,Amit Nanwani,Inflection Point Ventures,3000000.0,Series A,2020,Consumables
2020-02-20,LendingKart,2014,Ahmedabad,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",11363000.0,Series D,2020,FinTech
2020-02-20,SignalX,2018,Hyderabad,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020,Technology
2020-02-20,Rentmojo,2012,Bangalore,Geetansh Bamania,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment",2980000.0,Series A,2020,Logistics
2020-02-21,OurEye.ai,2020,Bangalore,"Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Series A,2020,Technology
2020-02-22,Pravasirojgar,2020,Bangalore,Sonu Sood,GoodWorker.,33000000.0,Series A,2020,Other
2020-02-22,GoldenPi,2017,Bangalore,"Abhijit Roy, Samir Pratihar",Rainmatter Capital,459000.0,Series A,2020,FinTech
2020-02-22,BankBazaar,2008,Chennai,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,5967000.0,Series D1,2020,FinTech
2020-02-23,Arzooo,2016,Bangalore,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",3000000.0,Series A,2020,Technology
2020-02-24,Codeyoung,2019,Bangalore,"Shailendra Dhakad, Rupika Taneja",Guild Capital,3000000.0,Seed,2020,Education
2020-02-24,STAGE,2019,Indore,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000.0,Series A,2020,Media/Entertainment
2020-02-25,Mitron TV,2020,Bangalore,"Shivank Agarwal, Anish Khandelwal",9Unicorns,3000000.0,Series A,2020,Media/Entertainment
2020-02-25,Anaxee Digital Runner,2016,Indore,"Govind Agrawal, Arti Agrawal",Orios Venture Partners,3000000.0,Series A,2020,Technology
2020-02-25,Cars24,2015,Gurugram,Vikram Chopra,Vivriti Capital,1328000.0,Series A,2020,Automotive
2020-02-26,Ather Energy,2013,Bangalore,"Tarun Mehta, Swapnil Jain",Hero MotoCorp,11241000.0,Series C,2020,Automotive
2020-02-26,Generico,2016,Mumbai,Siddharth Gadia,Alteria Capital,1400000.0,Series A,2020,Other
2020-02-26,Testbook,2016,Bangalore,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar,8400000.0,Series B,2020,Education
2020-02-26,Akna Medical,2018,Bangalore,"Saurabh Pandey, Mahadevan Narayanamoni",LGT Lightstone Aspada,7000000.0,Series A,2020,Healthcare
2020-02-27,Piggy Ride,2016,Bangalore,Manish Tewari,"JAFCO Asia, Artha Venture Fund",1862000.0,Pre-series A,2020,Technology
2020-02-27,Countingwell,2018,Bangalore,Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Pre-series A,2020,Education
2020-02-27,Bounce,2014,Bangalore,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",105000000.0,Series D,2020,Automotive
2020-02-27,Yellow Messenger,2016,Bangalore,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B,2020,Technology
2020-02-28,TaxBuddy.com,2019,Mumbai,Sujit Bangar,Zenith Global,1000000.0,Series A,2020,FinTech
2020-02-28,Reliance Retail,2006,Mumbai,Mukesh Ambani,Silver Lake Partners,10220000.0,Series A,2020,E-Commerce
2020-02-29,Uni,2016,Mumbai,Nitin Gupta,"Lightspeed India Partners, Accel India",18500000.0,Seed,2020,FinTech
2020-02-29,Text Mercato,2015,Bangalore,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,649600.0,Series A,2020,E-Commerce
2020-03-01,Agrix,2020,Patna,"Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,3000000.0,Series A,2020,Technology
2020-03-01,HobSpace,2019,Mumbai,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000.0,Seed,2020,Education
2020-03-01,Callify.ai,2016,Mumbai,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed,2020,Technology
2020-03-02,Medlife,2014,Bangalore,"Tushar Kumar, Prashant Singh",Hero Fincorp,15500000.0,Series A,2020,Healthcare
2020-03-05,mCaffeine,2015,Mumbai,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",5000000.0,Series B,2020,Wellness/Beauty
2020-03-05,Spoonshot,2015,Bangalore,"Kishan Vasani, Sai Sreenivas Kodur","SRI Capital, Techstars Farm to Fork Accelerator",1000000.0,Seed A,2020,Consumables
2020-03-06,Treebo Hotels,2015,Bangalore,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy",6000000.0,Series A,2020,Hospitality
2020-03-06,FPL Technologies,2019,Pune,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi","Matrix Partners India, Hummingbird Ventures",10000000.0,Series A,2020,FinTech
2020-03-06,Yulu,2016,Bangalore,Amit Gupta,Rocketship,3964000.0,Series A,2020,Other
2020-03-06,MergerDomo,2018,Noida,"Hormazd Charna, Manoj Mishra","Nadir Godrej, Individual Investors",197000.0,Series A,2020,Marketing
2020-03-07,Innoviti,2016,Bangalore,Rajeev Agrawal,FMO,5000000.0,Series A,2020,FinTech
2020-03-07,MindTickle,2011,Pune,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",100000000.0,Debt,2020,Technology
